id_cliente,fecha_observacion,probabilidad_churn_90d,prediccion_churn_90d,nivel_riesgo_churn,recencia_dias,frecuencia_365d,monto_365d,cantidad_365d,ticket_promedio_365d,descuento_pct_ponderado_365d,categorias_distintas_365d,canales_distintos_365d,participacion_digital_365d,antiguedad_cliente_dias,edad,genero,ciudad,segmento,canal_preferido,modelo,ventana_historica_dias,horizonte_churn_dias
C03710,2025-12-31,0.46294851282079,0,Medio,18,5.0,4098.76,29.0,819.7520000000001,0.071099918186598,4.0,2.0,0.2,2191,38.0,M,Lima,Masivo,Web,Logistic Regression,365,90
C11257,2025-12-31,0.4741935405266804,0,Medio,10,9.0,17652.02,62.0,1961.3355555555556,0.07472710345724105,6.0,3.0,0.4444444444444444,2191,36.0,M,Lima,Preferente,Web,Logistic Regression,365,90
C06256,2025-12-31,0.4497873875024063,0,Medio,201,2.0,8508.03,14.0,4254.015,0.14049561207666414,4.0,2.0,0.5,2190,25.0,M,Arequipa,Masivo,Web,Logistic Regression,365,90
C10738,2025-12-31,0.4706952387499784,0,Medio,1,4.0,9739.58,21.0,2434.895,0.04457883839855288,5.0,2.0,0.25,2190,44.0,F,Arequipa,Masivo,Tienda,Logistic Regression,365,90
C11997,2025-12-31,0.48363034343573613,0,Medio,112,4.0,3499.83,12.0,874.9575,0.0864696499699825,6.0,3.0,0.75,2190,57.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C10722,2025-12-31,0.4605147148795376,0,Medio,2,4.0,16352.0,33.0,4088.0,0.0017256980501542405,5.0,1.0,0.0,2190,57.0,M,Lima,Masivo,Tienda,Logistic Regression,365,90
C02551,2025-12-31,0.46107092433097474,0,Medio,287,3.0,1430.49,18.0,476.83,0.03453367439223574,4.0,1.0,0.0,2190,57.0,M,Arequipa,Preferente,Tienda,Logistic Regression,365,90
C08269,2025-12-31,0.4636752924735772,0,Medio,224,3.0,587.59,15.0,195.86333333333334,0.027889249731160557,4.0,2.0,0.3333333333333333,2190,45.0,M,Piura,Premium,Tienda,Logistic Regression,365,90
C06480,2025-12-31,0.47604530303463893,0,Medio,5,7.0,22356.47,50.0,3193.781428571429,0.06542922179634081,6.0,3.0,0.2857142857142857,2190,43.0,M,Piura,Masivo,Tienda,Logistic Regression,365,90
C09393,2025-12-31,0.4704245536331041,0,Medio,132,5.0,1276.73,22.0,255.346,0.08274475289350602,4.0,2.0,0.4,2190,53.0,M,Piura,Masivo,App,Logistic Regression,365,90
C06084,2025-12-31,0.4755337421433799,0,Medio,17,5.0,4965.34,25.0,993.068,0.021420323373426545,6.0,2.0,0.2,2189,21.0,M,Lima,Premium,App,Logistic Regression,365,90
C14395,2025-12-31,0.4505808162573255,0,Medio,185,3.0,4535.16,36.0,1511.72,0.09714387446124445,5.0,2.0,0.3333333333333333,2189,40.0,F,Trujillo,Preferente,Web,Logistic Regression,365,90
C09788,2025-12-31,0.45399806071391646,0,Medio,35,2.0,1909.23,17.0,954.615,0.021966801051170274,4.0,1.0,0.0,2189,34.0,F,Piura,Masivo,Web,Logistic Regression,365,90
C12185,2025-12-31,0.4565247842831566,0,Medio,57,2.0,2438.2699999999995,15.0,1219.1349999999998,0.06702697145131112,4.0,2.0,0.5,2189,36.0,F,Trujillo,Preferente,Web,Logistic Regression,365,90
C07028,2025-12-31,0.47214688714411573,0,Medio,7,7.0,3893.41,47.0,556.2014285714286,0.06925815611314044,6.0,2.0,0.2857142857142857,2189,34.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C06177,2025-12-31,0.4668440766682367,0,Medio,206,3.0,2113.33,11.0,704.4433333333333,0.10844028721133318,4.0,2.0,0.3333333333333333,2189,21.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C00276,2025-12-31,0.45936897474820915,0,Medio,13,3.0,3812.8100000000004,18.0,1270.9366666666667,0.013212175906994559,4.0,2.0,0.6666666666666666,2188,42.0,F,Lima,Masivo,Web,Logistic Regression,365,90
C07188,2025-12-31,0.4633514224258969,0,Medio,101,2.0,460.03999999999996,8.0,230.01999999999998,0.041066301198540905,4.0,1.0,0.0,2188,37.0,F,Cusco,Preferente,Tienda,Logistic Regression,365,90
C05027,2025-12-31,0.4877169038850719,0,Medio,43,7.0,3692.5699999999997,29.0,527.51,0.06654030168436646,6.0,2.0,0.14285714285714285,2188,52.0,M,Arequipa,Preferente,Tienda,Logistic Regression,365,90
C00176,2025-12-31,0.4602197163518107,0,Medio,107,2.0,964.31,10.0,482.155,0.0644763109132008,4.0,2.0,0.5,2188,22.0,M,Lima,Masivo,App,Logistic Regression,365,90
C02670,2025-12-31,0.48972198730586103,0,Medio,16,12.0,5118.96,62.0,426.58,0.060521480234843716,6.0,3.0,0.4166666666666667,2188,36.0,F,Arequipa,Masivo,Tienda,Logistic Regression,365,90
C01998,2025-12-31,0.4689968021776796,0,Medio,164,5.0,2373.29,30.0,474.658,0.017997813628821697,5.0,3.0,0.4,2187,44.0,M,Lima,Preferente,Tienda,Logistic Regression,365,90
C05699,2025-12-31,0.46456448749762275,0,Medio,57,3.0,1125.27,15.0,375.09,0.01464294570928196,4.0,2.0,0.3333333333333333,2187,46.0,M,Lima,Preferente,Tienda,Logistic Regression,365,90
C07462,2025-12-31,0.4687324501574216,0,Medio,4,4.0,15031.89,26.0,3757.9725,0.07207420961822777,5.0,3.0,0.5,2187,44.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C02555,2025-12-31,0.4667473784519664,0,Medio,6,4.0,815.86,19.0,203.965,0.0458390452132014,4.0,2.0,0.25,2187,23.0,F,Piura,Masivo,Tienda,Logistic Regression,365,90
C10638,2025-12-31,0.4529446697251786,0,Medio,23,2.0,2267.31,8.0,1133.655,0.09071035777163733,2.0,1.0,0.0,2187,48.0,M,Lima,Masivo,Tienda,Logistic Regression,365,90
C03424,2025-12-31,0.48043489617809465,0,Medio,3,8.0,3115.12,38.0,389.39,0.05565793701799487,5.0,3.0,0.5,2187,24.0,M,Arequipa,Masivo,Tienda,Logistic Regression,365,90
C06461,2025-12-31,0.47457416595146895,0,Medio,15,6.0,7267.9800000000005,38.0,1211.3300000000002,0.030509664665338967,6.0,2.0,0.3333333333333333,2187,26.0,M,Cusco,Masivo,Tienda,Logistic Regression,365,90
C12166,2025-12-31,0.4511529520884767,0,Medio,49,2.0,2645.21,16.0,1322.605,0.05125124905401866,3.0,2.0,0.5,2187,50.0,M,Piura,Masivo,Web,Logistic Regression,365,90
C11362,2025-12-31,0.44309077826192406,0,Medio,241,2.0,5299.9400000000005,19.0,2649.9700000000003,0.0552413459944419,3.0,1.0,0.0,2186,32.0,F,Lima,Masivo,App,Logistic Regression,365,90
C04369,2025-12-31,0.48127980464283837,0,Medio,60,8.0,16424.760000000002,43.0,2053.0950000000003,0.00672161364062434,6.0,2.0,0.25,2186,25.0,M,Lima,Masivo,Web,Logistic Regression,365,90
C05007,2025-12-31,0.47390189968320573,0,Medio,29,6.0,4937.96,27.0,822.9933333333333,0.0801710696955303,4.0,2.0,0.16666666666666666,2186,60.0,M,Lima,Masivo,Tienda,Logistic Regression,365,90
C14338,2025-12-31,0.47745770907867896,0,Medio,8,6.0,4598.6,32.0,766.4333333333334,0.04087745412528314,6.0,2.0,0.5,2186,50.0,F,Lima,Masivo,Web,Logistic Regression,365,90
C14685,2025-12-31,0.47280427890812216,0,Medio,46,4.0,2188.1400000000003,18.0,547.0350000000001,0.09762580426991962,5.0,3.0,0.75,2186,32.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C05404,2025-12-31,0.4743365506239583,0,Medio,5,6.0,7872.049999999999,35.0,1312.0083333333332,0.019250125707337376,6.0,1.0,0.0,2185,27.0,F,Lima,Premium,Tienda,Logistic Regression,365,90
C09575,2025-12-31,0.47742206704122503,0,Medio,41,5.0,4480.85,29.0,896.1700000000001,0.06511581743147213,6.0,2.0,0.2,2185,50.0,F,Trujillo,Preferente,Tienda,Logistic Regression,365,90
C14690,2025-12-31,0.4819048782275749,0,Medio,16,7.0,3832.9,21.0,547.5571428571428,0.0080626429196234,4.0,2.0,0.14285714285714285,2185,36.0,M,Lima,Preferente,Tienda,Logistic Regression,365,90
C13996,2025-12-31,0.4923652645626648,0,Medio,11,11.0,11141.27,54.0,1012.8427272727273,0.041069297658978016,6.0,3.0,0.5454545454545454,2185,64.0,M,Lima,Masivo,Web,Logistic Regression,365,90
C07595,2025-12-31,0.4741299600439551,0,Medio,4,6.0,18893.73,34.0,3148.955,0.021923078073904048,5.0,2.0,0.3333333333333333,2185,38.0,M,Lima,Masivo,Tienda,Logistic Regression,365,90
C12751,2025-12-31,0.46545919868825686,0,Medio,26,5.0,2819.44,26.0,563.888,0.053925679579886907,4.0,2.0,0.2,2185,18.0,M,Lima,Preferente,Tienda,Logistic Regression,365,90
C11740,2025-12-31,0.46707258671210206,0,Medio,55,8.0,4944.84,56.0,618.105,0.024507778137255676,5.0,3.0,0.75,2185,30.0,M,Arequipa,Masivo,Tienda,Logistic Regression,365,90
C06116,2025-12-31,0.4657627945601878,0,Medio,41,5.0,13633.41,41.0,2726.682,0.14331319236427,6.0,2.0,0.4,2185,18.0,F,Trujillo,Masivo,App,Logistic Regression,365,90
C02502,2025-12-31,0.4731310190430909,0,Medio,11,7.0,2381.64,37.0,340.2342857142857,0.051559007371242194,5.0,3.0,0.42857142857142855,2184,33.0,F,Lima,Masivo,Web,Logistic Regression,365,90
C00950,2025-12-31,0.4721648780840856,0,Medio,72,5.0,1646.3,21.0,329.26,0.06942956594484295,4.0,2.0,0.4,2184,53.0,M,Arequipa,Preferente,Tienda,Logistic Regression,365,90
C02236,2025-12-31,0.4572772335239348,0,Medio,6,2.0,4186.41,11.0,2093.205,0.030532698818505597,4.0,1.0,0.0,2184,49.0,F,Lima,Masivo,Web,Logistic Regression,365,90
C00653,2025-12-31,0.45070507372958213,0,Medio,61,6.0,5977.08,54.0,996.18,0.11913376513898837,4.0,3.0,0.6666666666666666,2184,18.0,M,Arequipa,Masivo,App,Logistic Regression,365,90
C09137,2025-12-31,0.44731021512710617,0,Medio,331,1.0,8.3,1.0,8.3,0.0,1.0,1.0,0.0,2184,51.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C00048,2025-12-31,0.4797767206251042,0,Medio,24,8.0,3336.6099999999997,43.0,417.07624999999996,0.0907223264141534,6.0,2.0,0.5,2184,18.0,F,Cusco,Preferente,Tienda,Logistic Regression,365,90
C00512,2025-12-31,0.4776185514164667,0,Medio,2,8.0,3848.76,34.0,481.095,0.018853608092364717,4.0,3.0,0.25,2184,49.0,M,Lima,Masivo,Web,Logistic Regression,365,90
C13880,2025-12-31,0.4724287267198639,0,Medio,80,5.0,22465.31,31.0,4493.062,0.035688824192215654,6.0,3.0,0.4,2183,28.0,No especificado,Lima,Masivo,App,Logistic Regression,365,90
C14472,2025-12-31,0.4896464311417317,0,Medio,18,6.0,7161.07,19.0,1193.5116666666665,0.05304663954944507,6.0,2.0,0.3333333333333333,2183,47.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C03604,2025-12-31,0.4551253052231168,0,Medio,29,2.0,11250.59,13.0,5625.295,0.12420889562672228,5.0,2.0,0.5,2183,38.0,M,Lima,Masivo,Web,Logistic Regression,365,90
C11732,2025-12-31,0.450621879888273,0,Medio,160,1.0,1656.2900000000002,6.0,1656.2900000000002,0.1081204600771103,3.0,1.0,1.0,2183,24.0,M,Cusco,Masivo,Tienda,Logistic Regression,365,90
C05497,2025-12-31,0.45757346551533745,0,Medio,93,2.0,26.04,2.0,13.02,0.02773711725168036,2.0,1.0,0.0,2183,33.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C03786,2025-12-31,0.45108628136814793,0,Medio,8,2.0,950.4799999999999,26.0,475.23999999999995,0.1420392249783362,4.0,1.0,0.0,2183,22.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C10512,2025-12-31,0.46409127499363256,0,Medio,7,4.0,15024.980000000001,27.0,3756.2450000000003,0.016008357761274183,5.0,1.0,0.0,2183,27.0,M,Arequipa,Masivo,Tienda,Logistic Regression,365,90
C05253,2025-12-31,0.45589401421709863,0,Medio,193,2.0,150.88,2.0,75.44,0.05935157730673317,2.0,1.0,1.0,2183,41.0,M,Arequipa,Preferente,Web,Logistic Regression,365,90
C06587,2025-12-31,0.4600305763842614,0,Medio,38,5.0,4057.7499999999995,34.0,811.55,0.02938092848360754,4.0,3.0,0.8,2183,37.0,M,Lima,Premium,App,Logistic Regression,365,90
C02938,2025-12-31,0.4776902498981673,0,Medio,53,7.0,18569.239999999998,46.0,2652.7485714285713,0.040896340019100225,6.0,3.0,0.42857142857142855,2182,48.0,M,Cusco,Masivo,App,Logistic Regression,365,90
C03555,2025-12-31,0.4514386489410879,0,Medio,107,1.0,41.26,1.0,41.26,0.0667,1.0,1.0,1.0,2182,51.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C08863,2025-12-31,0.4686800213923044,0,Medio,3,8.0,17387.36,56.0,2173.42,0.032456549523611315,5.0,3.0,0.375,2182,18.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C12402,2025-12-31,0.4732626899785397,0,Medio,41,6.0,10201.289999999999,38.0,1700.215,0.03934753981960874,6.0,3.0,0.6666666666666666,2182,31.0,No especificado,Lima,Masivo,,Logistic Regression,365,90
C10806,2025-12-31,0.4580509201307583,0,Medio,54,3.0,1375.3600000000001,21.0,458.4533333333334,0.048792223582380646,4.0,2.0,0.3333333333333333,2182,40.0,No especificado,Cusco,Masivo,Web,Logistic Regression,365,90
C05186,2025-12-31,0.47296488178011586,0,Medio,277,5.0,2242.36,20.0,448.47200000000004,0.07716234104022456,5.0,2.0,0.4,2182,39.0,F,Lima,Masivo,Web,Logistic Regression,365,90
C08011,2025-12-31,0.48380513768942934,0,Medio,87,6.0,9093.98,19.0,1515.6633333333332,0.004922345272667191,5.0,3.0,0.3333333333333333,2181,37.0,F,Trujillo,Preferente,Web,Logistic Regression,365,90
C03693,2025-12-31,0.46739403813406444,0,Medio,61,4.0,1029.1200000000001,9.0,257.28000000000003,0.000584665734374393,3.0,1.0,0.0,2181,,M,Trujillo,Masivo,App,Logistic Regression,365,90
C08144,2025-12-31,0.4734741126704292,0,Medio,3,3.0,2478.17,14.0,826.0566666666667,0.0801150259836674,6.0,1.0,0.0,2181,44.0,M,Lima,Masivo,Web,Logistic Regression,365,90
C04194,2025-12-31,0.449485037691936,0,Medio,227,1.0,133.52,2.0,133.52,0.06208662545658893,2.0,1.0,1.0,2181,22.0,M,Piura,Masivo,Web,Logistic Regression,365,90
C06795,2025-12-31,0.45299436388913,0,Medio,14,3.0,3439.34,29.0,1146.4466666666667,0.019624655804434205,4.0,2.0,0.3333333333333333,2181,38.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C12488,2025-12-31,0.49200138493617496,0,Medio,62,7.0,2136.2999999999997,21.0,305.18571428571425,0.04395362249441711,6.0,3.0,0.2857142857142857,2180,34.0,F,Lima,Preferente,Tienda,Logistic Regression,365,90
C06750,2025-12-31,0.4371678870134923,0,Medio,182,1.0,3223.15,7.0,3223.15,0.06,1.0,1.0,0.0,2180,24.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C06827,2025-12-31,0.4617467762332707,0,Medio,65,3.0,662.4200000000001,19.0,220.8066666666667,0.05217921018743741,4.0,3.0,0.6666666666666666,2180,46.0,M,Arequipa,Masivo,Web,Logistic Regression,365,90
C03698,2025-12-31,0.4776741302258459,0,Medio,14,4.0,5932.96,13.0,1483.24,0.08904696910141688,5.0,2.0,0.25,2180,47.0,M,Arequipa,Preferente,Tienda,Logistic Regression,365,90
C11106,2025-12-31,0.4811581815866191,0,Medio,26,6.0,5931.110000000001,30.0,988.5183333333334,0.046015811966499336,6.0,3.0,0.5,2180,33.0,M,Lima,Masivo,Tienda,Logistic Regression,365,90
C13480,2025-12-31,0.47882817633474856,0,Medio,103,6.0,4050.32,34.0,675.0533333333334,0.08872634565368034,6.0,2.0,0.3333333333333333,2180,54.0,M,Piura,Masivo,Tienda,Logistic Regression,365,90
C06570,2025-12-31,0.48052110454257635,0,Medio,2,7.0,841.02,22.0,120.14571428571428,0.062013645387223405,4.0,2.0,0.42857142857142855,2180,41.0,M,Lima,Masivo,,Logistic Regression,365,90
C01972,2025-12-31,0.4621402682715757,0,Medio,266,4.0,681.5500000000001,15.0,170.38750000000002,0.04235308350545884,3.0,3.0,0.75,2180,33.0,M,Cusco,Preferente,Web,Logistic Regression,365,90
C09640,2025-12-31,0.48084908839771623,0,Medio,8,6.0,8640.34,31.0,1440.0566666666666,0.06953191449952241,6.0,3.0,0.5,2180,45.0,M,Lima,Masivo,App,Logistic Regression,365,90
C04174,2025-12-31,0.4719048378632701,0,Medio,10,6.0,2101.4700000000003,30.0,350.24500000000006,0.09983060602945334,4.0,3.0,0.3333333333333333,2180,31.0,F,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C09986,2025-12-31,0.4731349900504225,0,Medio,18,6.0,5764.53,39.0,960.755,0.07857189661896906,6.0,2.0,0.3333333333333333,2179,35.0,M,Cusco,Preferente,App,Logistic Regression,365,90
C13328,2025-12-31,0.4698828760835045,0,Medio,46,6.0,3062.86,33.0,510.4766666666667,0.07921660243267455,5.0,3.0,0.6666666666666666,2179,18.0,M,Arequipa,Premium,Web,Logistic Regression,365,90
C10398,2025-12-31,0.43406786186479396,0,Medio,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2179,33.0,F,Cusco,Preferente,Tienda,Logistic Regression,365,90
C05446,2025-12-31,0.45898027516568396,0,Medio,13,3.0,1306.47,19.0,435.49,0.07721253664083853,4.0,2.0,0.3333333333333333,2179,37.0,F,Lima,Preferente,Web,Logistic Regression,365,90
C08518,2025-12-31,0.45860446794272136,0,Medio,118,3.0,2263.3599999999997,24.0,754.4533333333333,0.031617956923919464,4.0,3.0,0.6666666666666666,2179,40.0,M,Piura,Masivo,Tienda,Logistic Regression,365,90
C01128,2025-12-31,0.4722921514126495,0,Medio,135,5.0,1835.1999999999998,24.0,367.03999999999996,0.10841543259958122,5.0,2.0,0.4,2179,28.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C06067,2025-12-31,0.4847072329455915,0,Medio,4,8.0,4744.85,33.0,593.10625,0.051948857306127666,5.0,2.0,0.625,2179,43.0,No especificado,Trujillo,Preferente,App,Logistic Regression,365,90
C01853,2025-12-31,0.4782107099902996,0,Medio,12,6.0,7914.63,37.0,1319.105,0.04109676308239559,6.0,3.0,0.5,2179,33.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C07731,2025-12-31,0.4659400816373322,0,Medio,29,6.0,1374.74,27.0,229.12333333333333,0.04198713631643867,3.0,2.0,0.3333333333333333,2178,42.0,F,Lima,Masivo,App,Logistic Regression,365,90
C02470,2025-12-31,0.46565559081640473,0,Medio,12,3.0,3307.4199999999996,12.0,1102.4733333333331,0.08006175186217408,4.0,2.0,0.3333333333333333,2178,30.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C14909,2025-12-31,0.47545842359961654,0,Medio,21,9.0,3488.8,50.0,387.64444444444445,0.0397432498713252,5.0,2.0,0.1111111111111111,2178,31.0,F,Lima,Masivo,Tienda,Logistic Regression,365,90
C06108,2025-12-31,0.4499851643914578,0,Medio,322,2.0,5587.45,22.0,2793.725,0.009621954751548284,4.0,1.0,1.0,2178,64.0,F,Trujillo,Preferente,Tienda,Logistic Regression,365,90
C05505,2025-12-31,0.4742191276605529,0,Medio,106,6.0,4561.52,30.0,760.2533333333334,0.058730256245176575,5.0,2.0,0.16666666666666666,2178,34.0,F,Trujillo,Masivo,Web,Logistic Regression,365,90
C05694,2025-12-31,0.4649399513298101,0,Medio,15,3.0,797.75,14.0,265.9166666666667,0.019809981815501056,4.0,2.0,0.3333333333333333,2177,46.0,F,Cusco,Masivo,Web,Logistic Regression,365,90
C09038,2025-12-31,0.46280566130613093,0,Medio,219,3.0,421.71,9.0,140.57,0.07197325322946237,3.0,2.0,0.3333333333333333,2177,27.0,F,Cusco,Masivo,Tienda,Logistic Regression,365,90
C12542,2025-12-31,0.4877860003661577,0,Medio,54,6.0,4833.91,21.0,805.6516666666666,0.003670427600933277,6.0,2.0,0.16666666666666666,2177,49.0,M,Lima,Preferente,Tienda,Logistic Regression,365,90
C04925,2025-12-31,0.48325631341326747,0,Medio,11,7.0,9576.39,36.0,1368.0557142857142,0.016331272880415797,6.0,3.0,0.2857142857142857,2177,37.0,M,Arequipa,Premium,Tienda,Logistic Regression,365,90
C01353,2025-12-31,0.46603678812958516,0,Medio,9,4.0,211.11,9.0,52.7775,0.05248554308797127,2.0,2.0,0.25,2177,23.0,M,Trujillo,Masivo,Tienda,Logistic Regression,365,90
C02173,2025-12-31,0.46966731960114616,0,Medio,229,3.0,1901.52,6.0,633.84,0.06259383235805943,4.0,1.0,0.0,2177,31.0,M,Cusco,Masivo,Tienda,Logistic Regression,365,90
