id_cliente,ciudad,genero,edad,segmento_comercial,canal_preferido,fecha_registro,fecha_ultima_compra,recencia_dias,frecuencia,valor_monetario,ticket_promedio,unidades_compradas,r_score,f_score,m_score,rfm_score,rfm_puntaje_total,segmento_rfm,inactivo_90d_descriptivo,tiene_compras
C03710,Lima,M,38.0,Masivo,Web,2020-01-01,2025-12-13,18.0,16,15274.7,954.66875,82,4,4,4,444,12,Campeones,False,True
C11257,Lima,M,36.0,Preferente,Web,2020-01-01,2025-12-21,10.0,15,20270.14,1351.3426666666667,96,5,4,5,545,14,Campeones,False,True
C06256,Arequipa,M,25.0,Masivo,Web,2020-01-02,2025-06-13,201.0,6,11431.43,1905.2383333333335,38,1,1,3,113,5,En riesgo,True,True
C10738,Arequipa,F,44.0,Masivo,Tienda,2020-01-02,2025-12-30,1.0,11,20855.61,1895.9645454545455,71,5,2,5,525,12,Nuevos o prometedores,False,True
C11997,Lima,F,57.0,Masivo,Tienda,2020-01-02,2025-12-31,0.0,12,8550.24,712.52,44,5,2,2,522,9,Nuevos o prometedores,False,True
C10722,Lima,M,57.0,Masivo,Tienda,2020-01-02,2025-12-29,2.0,13,27256.08,2096.6215384615384,86,5,3,5,535,13,Alto valor,False,True
C02551,Arequipa,M,57.0,Preferente,Tienda,2020-01-02,2025-03-19,287.0,11,7966.2300000000005,724.2027272727273,64,1,2,2,122,5,Bajo valor,True,True
C08269,Piura,M,45.0,Premium,Tienda,2020-01-02,2025-05-21,224.0,15,14757.5,983.8333333333334,92,1,4,4,144,9,Alto valor,True,True
C06480,Piura,M,43.0,Masivo,Tienda,2020-01-02,2025-12-26,5.0,14,33670.479999999996,2405.0342857142855,90,5,3,5,535,13,Alto valor,False,True
C09393,Piura,M,53.0,Masivo,App,2020-01-02,2025-08-21,132.0,17,15935.31,937.3711764705882,67,1,5,4,154,10,Alto valor,True,True
C06084,Lima,M,21.0,Premium,App,2020-01-03,2025-12-14,17.0,14,16325.14,1166.0814285714284,58,4,3,4,434,11,Alto valor,False,True
C14395,Trujillo,F,40.0,Preferente,Web,2020-01-03,2025-06-29,185.0,13,11749.720000000001,903.8246153846155,81,1,3,3,133,7,En riesgo,True,True
C09788,Piura,F,34.0,Masivo,Web,2020-01-03,2025-11-26,35.0,16,16812.829999999998,1050.8018749999999,92,3,4,4,344,11,Leales,False,True
C12185,Trujillo,F,36.0,Preferente,Web,2020-01-03,2025-11-04,57.0,14,11017.289999999999,786.9492857142857,69,3,3,3,333,9,Regular,False,True
C07028,Lima,F,34.0,Masivo,Tienda,2020-01-03,2025-12-24,7.0,14,5436.16,388.29714285714283,70,5,3,1,531,9,Regular,False,True
C06177,Trujillo,M,21.0,Masivo,Tienda,2020-01-03,2025-06-08,206.0,9,13794.59,1532.7322222222222,53,1,1,3,113,5,En riesgo,True,True
C00276,Lima,F,42.0,Masivo,Web,2020-01-04,2025-12-18,13.0,12,23279.77,1939.9808333333333,71,4,2,5,425,11,Nuevos o prometedores,False,True
C07188,Cusco,F,37.0,Preferente,Tienda,2020-01-04,2025-09-21,101.0,14,16102.11,1150.1507142857142,66,2,3,4,234,9,Alto valor,True,True
C05027,Arequipa,M,52.0,Preferente,Tienda,2020-01-04,2025-11-18,43.0,16,13685.19,855.324375,77,3,4,3,343,10,Leales,False,True
C00176,Lima,M,22.0,Masivo,App,2020-01-04,2025-09-15,107.0,9,6052.95,672.55,53,2,1,1,211,4,Bajo valor,True,True
C02670,Arequipa,F,36.0,Masivo,Tienda,2020-01-04,2025-12-15,16.0,23,20370.95,885.6934782608696,129,4,5,5,455,14,Campeones,False,True
C01998,Lima,M,44.0,Preferente,Tienda,2020-01-05,2025-07-20,164.0,12,18944.959999999995,1578.7466666666662,100,1,2,4,124,7,En riesgo,True,True
C05699,Lima,M,46.0,Preferente,Tienda,2020-01-05,2025-11-04,57.0,13,12981.47,998.5746153846153,78,3,3,3,333,9,Regular,False,True
C07462,Trujillo,M,44.0,Masivo,Tienda,2020-01-05,2025-12-27,4.0,13,28207.25,2169.7884615384614,69,5,3,5,535,13,Alto valor,False,True
C02555,Piura,F,23.0,Masivo,Tienda,2020-01-05,2025-12-25,6.0,12,7382.39,615.1991666666667,58,5,2,1,521,8,Nuevos o prometedores,False,True
C10638,Lima,M,48.0,Masivo,Tienda,2020-01-05,2025-12-08,23.0,11,13414.48,1219.4981818181818,58,4,2,3,423,9,Nuevos o prometedores,False,True
C03424,Arequipa,M,24.0,Masivo,Tienda,2020-01-05,2025-12-28,3.0,15,15362.07,1024.138,68,5,4,4,544,13,Campeones,False,True
C06461,Cusco,M,26.0,Masivo,Tienda,2020-01-05,2025-12-16,15.0,10,8608.36,860.836,54,4,1,2,412,7,Nuevos o prometedores,False,True
C12166,Piura,M,50.0,Masivo,Web,2020-01-05,2025-11-12,49.0,12,11241.33,936.7775,61,3,2,3,323,8,Regular,False,True
C11362,Lima,F,32.0,Masivo,App,2020-01-06,2025-05-04,241.0,16,9636.35,602.271875,47,1,4,2,142,7,En riesgo,True,True
C04369,Lima,M,25.0,Masivo,Web,2020-01-06,2025-11-01,60.0,20,23930.73,1196.5365,94,3,5,5,355,13,Leales,False,True
C05007,Lima,M,60.0,Masivo,Tienda,2020-01-06,2025-12-02,29.0,12,6998.67,583.2225,71,3,2,1,321,6,Regular,False,True
C14338,Lima,F,50.0,Masivo,Web,2020-01-06,2025-12-23,8.0,14,9669.23,690.6592857142857,73,5,3,2,532,10,Regular,False,True
C14685,Lima,F,32.0,Masivo,Tienda,2020-01-06,2025-11-15,46.0,12,23319.42,1943.2849999999999,72,3,2,5,325,10,Regular,False,True
C05404,Lima,F,27.0,Premium,Tienda,2020-01-07,2025-12-31,0.0,17,15823.24,930.7788235294117,86,5,5,4,554,14,Campeones,False,True
C09575,Trujillo,F,50.0,Preferente,Tienda,2020-01-07,2025-11-20,41.0,10,7566.860000000001,756.686,57,3,1,2,312,6,Regular,False,True
C14690,Lima,M,36.0,Preferente,Tienda,2020-01-07,2025-12-15,16.0,11,6979.780000000001,634.5254545454546,47,4,2,1,421,7,Nuevos o prometedores,False,True
C13996,Lima,M,64.0,Masivo,Web,2020-01-07,2025-12-20,11.0,18,12836.51,713.1394444444445,81,4,5,3,453,12,Leales,False,True
C07595,Lima,M,38.0,Masivo,Tienda,2020-01-07,2025-12-27,4.0,14,23714.07,1693.8621428571428,69,5,3,5,535,13,Alto valor,False,True
C12751,Lima,M,18.0,Preferente,Tienda,2020-01-07,2025-12-05,26.0,15,14912.890000000001,994.1926666666667,80,4,4,4,444,12,Campeones,False,True
C11740,Arequipa,M,30.0,Masivo,Tienda,2020-01-07,2025-11-06,55.0,19,21468.8,1129.9368421052632,112,3,5,5,355,13,Leales,False,True
C06116,Trujillo,F,18.0,Masivo,App,2020-01-07,2025-11-20,41.0,13,15961.69,1227.8223076923077,72,3,3,4,334,10,Alto valor,False,True
C02502,Lima,F,33.0,Masivo,Web,2020-01-08,2025-12-20,11.0,15,7465.42,497.69466666666665,74,4,4,2,442,10,Leales,False,True
C00950,Arequipa,M,53.0,Preferente,Tienda,2020-01-08,2025-10-20,72.0,13,14299.45,1099.9576923076925,71,2,3,3,233,8,En riesgo,False,True
C02236,Lima,F,49.0,Masivo,Web,2020-01-08,2025-12-25,6.0,15,9454.69,630.3126666666667,56,5,4,2,542,11,Leales,False,True
C00653,Arequipa,M,18.0,Masivo,App,2020-01-08,2025-10-31,61.0,15,13318.65,887.91,106,2,4,3,243,9,En riesgo,False,True
C09137,Lima,F,51.0,Masivo,Tienda,2020-01-08,2025-02-03,331.0,10,13042.93,1304.2930000000001,39,1,1,3,113,5,En riesgo,True,True
C00048,Cusco,F,18.0,Preferente,Tienda,2020-01-08,2025-12-07,24.0,22,14138.13,642.6422727272727,118,4,5,3,453,12,Leales,False,True
C00512,Lima,M,49.0,Masivo,Web,2020-01-08,2025-12-29,2.0,15,11125.52,741.7013333333333,67,5,4,3,543,12,Leales,False,True
